#Download date: 06/26/2025
Product name,Product code,Purchase date,Purchase price,Drink date
The Society's Ruppertsberg 2017,GE11371,09/18/2019,5.95,2018 - 2019
"Pinot Noir, Pays d'Oc, Jacques Dépagneux 2016",FC31941,09/18/2019,6.50,2017 - 2019
Las Piletas Lujan de Cuyo Malbec 2016,AR3971,09/18/2019,8.75,2018 - 2022
Corent Cotes d'Auvergne Saint Verny 2018,FC36561,09/18/2019,8.25,2019 - 2021
Trenel Beaujolais-Villages 2016,BJ7251,09/18/2019,7.95,2017 - 2019
Saumur Rosé 'Les Plantagenêts' 2018,LO14831,09/18/2019,7.50,2019 - 2020
"3C Premium Selection, Cariñena 2015",SP14051,09/18/2019,6.95,2018 - 2020
"Puertas Novas Selección, Toro 2014",SP14341,09/18/2019,8.50,2018 - 2020
"Pouilly-sur-Loire Vieilles Vignes, Domaine de Riaux 2018",LO15031,09/18/2019,10.95,2019 - 2020
Domaine la Croix Belle Champs des Grillons Cotes de Thongue 2018,FC36571,09/18/2019,8.25,2019 - 2021
Tapas Case,XC1916,11/12/2019,39.50,0 - 0
The Society's Saumur Rosé Brut NV,SG1071,11/12/2019,11.50,0 - 0
The Society's English White 2018,EN1381,11/12/2019,8.50,2019 - 2020
2016 Barolo Case,OC5116,04/24/2020,131.00,0 - 0
Members Favourites Mixed Case,MX20224,04/28/2020,89.00,0 - 0
"Magnum of Laudun Côtes-du-Rhône Villages, Château Courac 2018",RH55774,03/18/2020,67.00,2021 - 2029
2018 Rhône Essentials,OC4986,03/18/2020,114.00,0 - 0
"Domaine Coche-Bizouard, Meursault Rouge 2018",BU74221,04/08/2020,110.00,2021 - 2023
Bin #006 Tasmanian Pinot Noir 2018,AU23031,09/18/2020,12.95,2019 - 2025
The Society's Saumur Rosé Brut NV,SG1071,09/18/2020,11.50,0 - 0
Decanter Regional Awards Case,MX20339,09/18/2020,109.00,0 - 0
Baccolo Appassimento Rosso Veneto 2019,IT30761,01/24/2021,6.95,2020 - 2022
"Orvieto Classico Superiore Castagnolo, Barberani 2019",IT29851,01/24/2021,10.95,2019 - 2021
The Society's Verdicchio Classico 2019,IT28781,01/24/2021,8.50,2020 - 2021
The Society's Saumur Rosé Brut NV,SG1071,01/24/2021,11.50,0 - 0
Bardolino Le Fraghe 2019,IT29571,01/24/2021,11.50,2019 - 2021
Cerasuolo d'Abruzzo Contesa 2019,IT29701,01/24/2021,7.50,2020 - 2022
"Vermentino Terre Siciliane, Jummare 2019",IT30271,01/24/2021,8.95,2020 - 2022
