#Download date: 06/26/2025
Product name,Product code,Purchase date,Purchase price,Drink date
Au Bon Climat Santa Maria Valley Pinot Noir 2019,US11121,07/12/2023,26.00,2022 - 2027
Haut-Batailley Verso Pauillac 2019,CM27531,07/12/2023,25.00,2023 - 2032
"Château Canada, Bordeaux Supérieur 2019",CB6351,07/12/2023,8.50,2021 - 2025
"Château La Perrière, Bordeaux 2020",CB6701,07/12/2023,7.50,2021 - 2024
Bogle California Petite Sirah 2018,US9761,07/12/2023,14.50,2021 - 2025
"Tokaji Dry Furmint, Pajzos 2021",HU1901,07/12/2023,9.25,2022 - 2024
"Château Côtes de Chambeau, Lussac Saint-Emilion 2020",CS12241,07/12/2023,10.50,2022 - 2025
2020 Six Classic Communes Case,OC5426,08/12/2021,140.00,0 - 0
The Society's White Burgundy 2022,BU85501,12/19/2023,11.95,2022 - 2025
The Society's English White 2022,EN2001,12/19/2023,9.95,2023 - 2024
Bogle Vineyard California Chardonnay 2021,US11361,12/19/2023,14.50,2023 - 2026
Bogle California Petite Sirah 2019,US10691,12/19/2023,14.95,2022 - 2026
Parker Station Pinot Noir 2019,US10611,12/19/2023,14.95,2020 - 2024
"Crémant de Die Brut, Cave Poulet",SG3461,12/19/2023,11.31,0 - 0
The Society's Saumur Rosé Brut NV,SG1071,12/19/2023,11.76,0 - 0
"Château de Pitray, Castillon Côtes de Bordeaux 2020",CB6311,12/19/2023,10.50,2023 - 2028
Half bottle of Quady Essensia Orange Muscat 2021,US11272,12/19/2023,16.00,2022 - 2030
Bin #016 Szamorodni 2011 50cl,HU2001,12/19/2023,9.95,2023 - 2025
2019 Vergelegen Mixed Case,OC6046,11/08/2023,114.00,0 - 0
The Society's 150th Anniversary Louis Jadot Beaune PC (Domaine Gagey) 2015,BU66181,04/06/2024,45.00,2024 - 2034
The Wine Society's Generation Series Crémant de Loire 2020,SG4101,04/06/2024,14.50,2024 - 2026
The Wine Society's Generation Series Rioja Blanco Reserva 2018,SP19951,04/06/2024,13.95,2024 - 2029
The Wine Society's Generation Series Cava Gran Reserva Brut 2019,SG4171,04/06/2024,12.50,0 - 0
The Wine Society's Generation Series Bucelas 2022,PW10561,04/06/2024,13.50,2023 - 2025
"The Wine Society's Generation Series Gentil, Alsace 2021",AL17191,04/06/2024,14.95,2023 - 2026
The Wine Society's Generation Series Muscadet 2022,LO18741,04/06/2024,11.95,2023 - 2027
The Society's Generation Series Orvieto Classico 2023,IT39571,04/06/2024,12.95,2024 - 2027
The Wine Society's Generation Series Vinsobres 2021,RH68401,04/06/2024,12.50,2024 - 2027
The Wine Societys Generation Series South African Red 2023,SA20631,04/06/2024,12.95,2023 - 2026
The Wine Society's Generation Series Graves Blanc 2021,BW7401,04/06/2024,14.95,2022 - 2025
The Wine Society's Generation Series Tokaji Furmint 2021,HU2091,04/06/2024,13.50,2024 - 2027
150th Anniversary Collection Small Wonders Case,MX2434,04/06/2024,129.00,0 - 0
2021 Rhône Essentials,OC5766,03/03/2023,131.00,0 - 0
2021 Red Burgundy Case,OC5876,03/21/2023,125.00,0 - 0
The Wine Society's Generation Series Barossa Shiraz 2023,AU26611,06/10/2024,13.50,2023 - 2026
The Wine Society's Generation Series Rioja Blanco Reserva 2018,SP19951,06/10/2024,13.95,2024 - 2029
The Wine Society's Generation Series Cava Gran Reserva Brut 2019,SG4171,06/10/2024,12.50,0 - 0
The Wine Society's Generation Series Crémant de Loire 2020,SG4101,06/10/2024,14.50,2024 - 2026
The Wine Society's Generation Series Haut-Médoc 2019,CM27731,06/10/2024,14.95,2024 - 2030
The Wine Society's Generation Series Rioja 2020,SP19771,06/10/2024,12.50,2023 - 2026
The Wine Society's Generation Series Reserve Port,PN331,06/10/2024,20.00,2023 - 2035
Bogle California Petite Sirah 2019,US10691,06/10/2024,14.95,2022 - 2026
Bogle Vineyard California Chardonnay 2021,US11361,06/10/2024,14.50,2023 - 2026
"Louis Jadot, Savigny-lès-Beaune Premier Cru Les Guettes 2017",BU70911,06/10/2024,34.00,2024 - 2030
The Society's Exhibition Margaux 2019,CM25211,06/10/2024,24.00,2023 - 2031
"Half bottle of Réserve de la Comtesse, Pauillac 2019",CM24732,06/10/2024,23.00,2024 - 2034
"Château Lalande Borie, Saint-Julien 2016",CM23411,06/10/2024,30.00,2020 - 2028
2021 Six Classic Communes,OC5696,08/08/2022,139.00,0 - 0
2021 Sauternes and Barsac Halves Case,OC5716,08/08/2022,169.00,0 - 0
"Vergelegen Estate V Red, Stellenbosch 2012",SA20841,09/29/2024,87.50,2023 - 2028
"Kanonkop Estate Cabernet Sauvignon, Simonsberg-Stellenbosch 2016",SA17191,09/29/2024,34.00,2020 - 2030
"Glenelly Estate Reserve, Stellenbosch 2017",SA21521,09/29/2024,18.00,2024 - 2027
Bogle California Petite Sirah 2019,US10691,10/21/2024,14.95,2022 - 2026
The Society's Celebration Crémant de Loire 2021,SG4211,10/21/2024,13.31,2023 - 2026
The Society's Saumur Rosé Brut NV,SG1071,10/21/2024,11.76,0 - 0
"Crémant de Die Brut, Cave Poulet",SG3461,10/21/2024,11.31,0 - 0
The Society's Saumur Brut NV,SG1061,10/21/2024,10.76,0 - 0
"Blanquette de Limoux M le Mauzac Réserve, Antech 2021",SG4081,10/21/2024,12.31,2023 - 2025
White Burgundy Case,MX2564,01/31/2025,114.00,0 - 0
Beaujolais Case,WC2529,01/31/2025,71.00,0 - 0
Generation Series Mixed Case,XC2427,03/23/2025,83.00,0 - 0
2022 Rhone Essentials Case,OC6126,03/01/2024,136.00,0 - 0
"Ventoux Les Travèrses, Paul Jaboulet Aîné 2023",RH75441,06/16/2025,10.95,2025 - 2029
Bogle California Petite Sirah 2021,US13651,06/16/2025,15.50,2025 - 2028
Bogle Vineyard California Chardonnay 2023,US13641,06/16/2025,15.50,2025 - 2027
